primaryIdentifier,organism.shortName,pathways.identifier,pathways.name,pathways.link
SGD:S000000605,S. cerevisiae,PTWY:GLYCOLYSIS,glycolysis I (from glucose 6-phosphate),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLYCOLYSIS
SGD:S000005710,S. cerevisiae,PTWY:PWY3O-261,superpathway of serine and glycine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-261
SGD:S000005710,S. cerevisiae,PTWY:SERSYN-PWY,L-serine biosynthesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=SERSYN-PWY
SGD:S000000985,S. cerevisiae,PTWY:PWY-2201,folate transformations I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-2201
SGD:S000002640,S. cerevisiae,PTWY:PWY3O-50,tetrapyrrole biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-50
SGD:S000002640,S. cerevisiae,PTWY:PWY3O-69,superpathway of heme and siroheme biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-69
SGD:S000006322,S. cerevisiae,PTWY:PWY3O-351,superpathway of methionine salvage pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-351
SGD:S000003785,S. cerevisiae,PTWY:PWY3O-351,superpathway of methionine salvage pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-351
SGD:S000001003,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000001003,S. cerevisiae,PTWY:PWY0-662,PRPP biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY0-662
SGD:S000005422,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000005422,S. cerevisiae,PTWY:PWY0-662,PRPP biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY0-662
SGD:S000000901,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000000901,S. cerevisiae,PTWY:PWY0-662,PRPP biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY0-662
SGD:S000001664,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000001664,S. cerevisiae,PTWY:PWY0-662,PRPP biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY0-662
SGD:S000000164,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000000164,S. cerevisiae,PTWY:PWY0-662,PRPP biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY0-662
SGD:S000001226,S. cerevisiae,PTWY:OXIDATIVEPENT-PWY,pentose phosphate pathway (oxidative branch) I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=OXIDATIVEPENT-PWY
SGD:S000001226,S. cerevisiae,PTWY:PENTOSE-P-PWY,pentose phosphate pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PENTOSE-P-PWY
SGD:S000003488,S. cerevisiae,PTWY:OXIDATIVEPENT-PWY,pentose phosphate pathway (oxidative branch) I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=OXIDATIVEPENT-PWY
SGD:S000003488,S. cerevisiae,PTWY:PENTOSE-P-PWY,pentose phosphate pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PENTOSE-P-PWY
SGD:S000001206,S. cerevisiae,PTWY:OXIDATIVEPENT-PWY,pentose phosphate pathway (oxidative branch) I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=OXIDATIVEPENT-PWY
SGD:S000001206,S. cerevisiae,PTWY:PENTOSE-P-PWY,pentose phosphate pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PENTOSE-P-PWY
SGD:S000003480,S. cerevisiae,PTWY:OXIDATIVEPENT-PWY,pentose phosphate pathway (oxidative branch) I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=OXIDATIVEPENT-PWY
SGD:S000003480,S. cerevisiae,PTWY:PENTOSE-P-PWY,pentose phosphate pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PENTOSE-P-PWY
SGD:S000005341,S. cerevisiae,PTWY:BIOTIN-SYNTHESIS-PWY,biotin biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=BIOTIN-SYNTHESIS-PWY
SGD:S000004347,S. cerevisiae,PTWY:BRANCHED-CHAIN-AA-SYN-PWY-1,superpathway of branched chain amino acid biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=BRANCHED-CHAIN-AA-SYN-PWY-1
SGD:S000004714,S. cerevisiae,PTWY:BRANCHED-CHAIN-AA-SYN-PWY-1,superpathway of branched chain amino acid biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=BRANCHED-CHAIN-AA-SYN-PWY-1
SGD:S000004714,S. cerevisiae,PTWY:PWY3O-335,acetoin biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-335
SGD:S000004714,S. cerevisiae,PTWY:PWY3O-981,superpathway of acetoin and butanediol biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-981
SGD:S000005949,S. cerevisiae,PTWY:ERGOSTEROL-SYN-PWY-1,superpathway of ergosterol biosynthesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ERGOSTEROL-SYN-PWY-1
SGD:S000005949,S. cerevisiae,PTWY:IPPSYN-PWY,mevalonate pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=IPPSYN-PWY
SGD:S000005949,S. cerevisiae,PTWY:PWY-5177,glutaryl-CoA degradation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-5177
SGD:S000005949,S. cerevisiae,PTWY:PWY-922,mevalonate pathway I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-922
SGD:S000005299,S. cerevisiae,PTWY:PWY3O-10,"fatty acid biosynthesis, initial steps",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-10
SGD:S000005299,S. cerevisiae,PTWY:PWY3O-5962,"superpathway of fatty acid biosynthesis, saturated and unsaturated",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-5962
SGD:S000005299,S. cerevisiae,PTWY:PWY3O-6336,"superpathway of fatty acid biosynthesis, saturated",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-6336
SGD:S000004143,S. cerevisiae,PTWY:ACETATEUTIL2-PWY,acetate utilization,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ACETATEUTIL2-PWY
SGD:S000004143,S. cerevisiae,PTWY:PWY3O-4300,ethanol degradation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-4300
SGD:S000000050,S. cerevisiae,PTWY:ACETATEUTIL2-PWY,acetate utilization,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ACETATEUTIL2-PWY
SGD:S000000050,S. cerevisiae,PTWY:PWY3O-4300,ethanol degradation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-4300
SGD:S000006230,S. cerevisiae,PTWY:TREDEG-YEAST-PWY,trehalose degradation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=TREDEG-YEAST-PWY
SGD:S000004611,S. cerevisiae,PTWY:PWY3O-351,superpathway of methionine salvage pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-351
SGD:S000004295,S. cerevisiae,PTWY:GLYOXYLATE-BYPASS,glyoxylate cycle,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLYOXYLATE-BYPASS
SGD:S000004295,S. cerevisiae,PTWY:PWY3O-94,superpathway of TCA cycle and glyoxylate cycle,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-94
SGD:S000004295,S. cerevisiae,PTWY:TCA-EUK-PWY,"TCA cycle, aerobic respiration",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=TCA-EUK-PWY
SGD:S000005085,S. cerevisiae,PTWY:PWY3O-1,salvage pathways of purines and their nucleosides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-1
SGD:S000005085,S. cerevisiae,PTWY:PWY3O-2220,"salvage pathways of adenine, hypoxanthine and their nucleosides",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-2220
SGD:S000005085,S. cerevisiae,PTWY:PWY3O-285,superpathway of purine biosynthesis and salvage pathways,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-285
SGD:S000004484,S. cerevisiae,PTWY:PWY3O-1,salvage pathways of purines and their nucleosides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-1
SGD:S000004484,S. cerevisiae,PTWY:PWY3O-2220,"salvage pathways of adenine, hypoxanthine and their nucleosides",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-2220
SGD:S000004484,S. cerevisiae,PTWY:PWY3O-285,superpathway of purine biosynthesis and salvage pathways,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-285
SGD:S000003866,S. cerevisiae,PTWY:PWY3O-1,salvage pathways of purines and their nucleosides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-1
SGD:S000003866,S. cerevisiae,PTWY:PWY3O-2220,"salvage pathways of adenine, hypoxanthine and their nucleosides",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-2220
SGD:S000003866,S. cerevisiae,PTWY:PWY3O-285,superpathway of purine biosynthesis and salvage pathways,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-285
SGD:S000002634,S. cerevisiae,PTWY:DENOVOPURINE2-PWY,superpathway of purine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE2-PWY
SGD:S000002634,S. cerevisiae,PTWY:DENOVOPURINE3-PWY,de novo biosynthesis of purine nucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE3-PWY
SGD:S000002634,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000002634,S. cerevisiae,PTWY:PWY3O-285,superpathway of purine biosynthesis and salvage pathways,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-285
SGD:S000002634,S. cerevisiae,PTWY:PWY-6126-1,superpathway of adenosine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6126-1
SGD:S000004351,S. cerevisiae,PTWY:DENOVOPURINE2-PWY,superpathway of purine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE2-PWY
SGD:S000004351,S. cerevisiae,PTWY:DENOVOPURINE3-PWY,de novo biosynthesis of purine nucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE3-PWY
SGD:S000004351,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000004351,S. cerevisiae,PTWY:PWY3O-285,superpathway of purine biosynthesis and salvage pathways,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-285
SGD:S000004351,S. cerevisiae,PTWY:PWY-6126-1,superpathway of adenosine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6126-1
SGD:S000005164,S. cerevisiae,PTWY:DENOVOPURINE2-PWY,superpathway of purine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE2-PWY
SGD:S000005164,S. cerevisiae,PTWY:DENOVOPURINE3-PWY,de novo biosynthesis of purine nucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE3-PWY
SGD:S000005164,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000005164,S. cerevisiae,PTWY:PWY3O-285,superpathway of purine biosynthesis and salvage pathways,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-285
SGD:S000005164,S. cerevisiae,PTWY:PWY-6126-1,superpathway of adenosine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6126-1
SGD:S000001484,S. cerevisiae,PTWY:PWY-5340,sulfate activation (for sulfonation),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-5340
SGD:S000001484,S. cerevisiae,PTWY:PWY-781,sulfate assimilation pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-781
SGD:S000001484,S. cerevisiae,PTWY:PWY-821-1,superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-821-1
SGD:S000001484,S. cerevisiae,PTWY:SO4ASSIM-PWY,assimilatory sulfate reduction I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=SO4ASSIM-PWY
SGD:S000001864,S. cerevisiae,PTWY:PWY3O-261,superpathway of serine and glycine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-261
SGD:S000004079,S. cerevisiae,PTWY:ALANINE-SYN2-PWY,L-alanine biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ALANINE-SYN2-PWY
SGD:S000005446,S. cerevisiae,PTWY:GLUCFERMEN-PWY,superpathway of glucose fermentation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCFERMEN-PWY
SGD:S000005446,S. cerevisiae,PTWY:PWY3O-4108,L-tyrosine degradation III,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-4108
SGD:S000003225,S. cerevisiae,PTWY:GLUCFERMEN-PWY,superpathway of glucose fermentation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCFERMEN-PWY
SGD:S000003225,S. cerevisiae,PTWY:PWY3O-4108,L-tyrosine degradation III,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-4108
SGD:S000000349,S. cerevisiae,PTWY:GLUCFERMEN-PWY,superpathway of glucose fermentation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCFERMEN-PWY
SGD:S000000349,S. cerevisiae,PTWY:PWY3O-4108,L-tyrosine degradation III,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-4108
SGD:S000001146,S. cerevisiae,PTWY:PWY3O-8,xylose metabolism,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-8
SGD:S000000387,S. cerevisiae,PTWY:SPHINGOLIPID-SYN-PWY-1,sphingolipid biosynthesis (yeast),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=SPHINGOLIPID-SYN-PWY-1
SGD:S000006008,S. cerevisiae,PTWY:SPHINGOLIPID-SYN-PWY-1,sphingolipid biosynthesis (yeast),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=SPHINGOLIPID-SYN-PWY-1
SGD:S000001468,S. cerevisiae,PTWY:ALLANTOINDEG-PWY,superpathway of allantoin degradation in yeast,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ALLANTOINDEG-PWY
SGD:S000001468,S. cerevisiae,PTWY:PWY-5694,allantoin degradation to glyoxylate I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-5694
SGD:S000001468,S. cerevisiae,PTWY:PWY-5697,allantoin degradation to ureidoglycolate I (urea producing),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-5697
SGD:S000001466,S. cerevisiae,PTWY:ALLANTOINDEG-PWY,superpathway of allantoin degradation in yeast,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ALLANTOINDEG-PWY
SGD:S000001466,S. cerevisiae,PTWY:PWY-5694,allantoin degradation to glyoxylate I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-5694
SGD:S000001466,S. cerevisiae,PTWY:PWY-5697,allantoin degradation to ureidoglycolate I (urea producing),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-5697
SGD:S000004993,S. cerevisiae,PTWY:GLUCOSE-MANNOSYL-CHITO-DOLICHOL,lipid-linked oligosaccharide biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCOSE-MANNOSYL-CHITO-DOLICHOL
SGD:S000005313,S. cerevisiae,PTWY:GLUCOSE-MANNOSYL-CHITO-DOLICHOL,lipid-linked oligosaccharide biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCOSE-MANNOSYL-CHITO-DOLICHOL
SGD:S000000319,S. cerevisiae,PTWY:LYSINE-AMINOAD-PWY-2,L-lysine biosynthesis IV,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=LYSINE-AMINOAD-PWY-2
SGD:S000005048,S. cerevisiae,PTWY:BRANCHED-CHAIN-AA-SYN-PWY-1,superpathway of branched chain amino acid biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=BRANCHED-CHAIN-AA-SYN-PWY-1
